article,word,tf,idf,tfidf,count,pos,ngd功效,ngd品牌,rank_page
9,菌種,0.00734394,4.77968881,0.03510175,6,n,0.58534033,0.52848974,2
9,腸道,0.02203182,3.4072645,0.07506825,18,n,0.64503133,0.45462099,2
9,體質,0.00489596,3.4235074,0.01676136,4,n,0.58860421,0.61001802,2
9,優酪乳,0.00734394,5.06173569,0.03717309,6,n,0.74663569,0.55351967,2
9,發酵,0.01468788,3.77893499,0.05550455,12,v,0.68161816,0.61281129,2
9,抗生素,0.00611995,3.18734871,0.01950642,5,n,0.68553605,0.63379961,2
9,好菌,0.01101591,4.08231542,0.04497043,9,n,0.65906116,0.58966176,2
9,減少,0.00489596,3.16181543,0.01548012,4,v,0.63562693,0.39786109,2
9,壞菌,0.01101591,5.29475787,0.05832659,9,n,0.67251987,0.61501903,2
9,腸內細菌,0.00611995,7.31494786,0.04476712,5,n,0.73191292,0.77145062,2
9,益菌,0.00489596,3.5689622,0.0174735,4,n,0.63717312,0.51950463,2
9,伺機性病原菌,0.00489596,10.1382643,0.04963655,4,n,0.67246624,0.73114459,2
9,減肥,0.00489596,3.01368535,0.01475489,4,v,0.42508311,0.4297805,2
10,產品,0.02597403,1.72833347,0.04489178,14,n,0.51295934,0.36098636,2
10,菌種,0.02411874,4.77968881,0.11528006,13,n,0.58534033,0.52848974,2
10,菌株,0.03153989,3.82027627,0.12049109,17,n,0.85506431,0.84921757,2
10,陳佑誠,0.00742115,10.7023907,0.07942405,4,n,0.95209074,0.90619207,2
10,功效,0.02040816,1.68327198,0.03435249,11,n,0,0.78370671,2
10,醫師,0.00927644,3.2965479,0.03058022,5,n,0.77360268,0.67970899,2
10,調整,0.01113173,3.05058988,0.03395833,6,v,1.0045345,0.52545118,2
10,體質,0.01113173,3.4235074,0.03810954,6,n,0.58860421,0.61001802,2
10,冷藏,0.01298701,3.23140866,0.04196635,7,n,0.73594107,0.62602809,2
11,選擇,0.00940808,1.82064212,0.01712874,24,v,0.50858354,0.43207655,2
11,益生菌,0.05331243,0.22670857,0.01208638,136,n,0.67285679,0.58955609,2
11,研究,0.00901607,1.36586378,0.01231473,23,v,1.10728342,0.73666617,2
11,發現,0.00352803,2.18836681,0.00772062,9,v,0.53528129,0.28028331,2
11,幫助,0.00313603,2.38025775,0.00746455,8,v,0.47871527,0.24520063,2
11,人類,0.00196002,3.64774298,0.00714963,5,n,0.64588312,0.31217983,2
11,優酪乳,0.00235202,5.06173569,0.0119053,6,n,0.74663569,0.55351967,2
11,乳酸菌,0.01136809,2.14488171,0.02438321,29,n,0.88168701,0.74550043,2
11,許多,0.00313603,3.08112658,0.00966249,8,m,0.52964257,0.35032413,2
11,人體,0.00313603,2.66282459,0.00835068,8,n,0.4195322,0.35162851,2
11,服用,0.00392003,2.3241683,0.00911081,10,v,0.61441908,0.67584718,2
11,針對,0.00588005,3.41049204,0.02005385,15,n,0.78570503,0.43689109,2
11,腸胃道,0.00196002,5.3837047,0.01055215,5,n,0.59199142,0.54171029,2
11,減緩,0.00156801,4.87754417,0.00764805,4,v,0.70448126,0.67383155,2
11,吃益生菌,0.00548804,3.79305285,0.02081644,14,n,0.63657038,0.57952189,2
11,媽媽,0.00352803,2.14792585,0.00757794,9,n,0.59426591,0.38387202,2
11,攝取,0.00196002,3.82515829,0.00749737,5,v,0.62120778,0.67938494,2
11,寶寶,0.00431203,2.34622801,0.01011702,11,n,0.54827643,0.35830333,2
11,產品,0.00588005,1.72833347,0.01016268,15,n,0.51295934,0.36098636,2
11,比較,0.00431203,2.3241683,0.01002189,11,d,0.62888579,0.61432376,2
11,來源,0.00509604,3.05058988,0.01554593,13,n,0.5214853,0.27790158,2
11,細菌,0.00235202,3.561415,0.00837652,6,n,0.62647355,0.55227969,2
11,益生質,0.00666405,6.34964545,0.04231438,17,n,0.71621775,0.62623087,2
11,產生,0.00392003,3.08112658,0.01207811,10,n,0.63044777,0.40175546,2
11,腸道,0.00862407,3.4072645,0.02938448,22,n,0.64503133,0.45462099,2
11,宿主,0.00156801,4.75872377,0.00746174,4,n,0.88080403,0.7929773,2
11,證實,0.00274402,4.27226046,0.01172318,7,n,0.72361154,0.56709847,2
11,挑選,0.00274402,3.27749972,0.00899353,7,v,0.76454972,0.53461193,2
11,延伸,0.00274402,3.04309922,0.00835033,7,v,0.87802736,0.47736258,2
11,大本山益生菌,0.00196002,7.07379726,0.01386475,5,n,0.88319976,0.74714188,2
11,農純,0.00196002,4.16358937,0.0081607,5,n,0.48811159,0.33326264,2
11,體質,0.00274402,3.4235074,0.00939418,7,n,0.58860421,0.61001802,2
11,科學,0.00235202,3.24045849,0.00762162,6,n,0.54646786,0.32847801,2
11,ISAPP,0.00235202,9.53008497,0.02241494,6,eng,0.97786948,0.90662729,2
11,調節,0.00274402,3.54156326,0.00971813,7,v,0.75645071,0.60422258,2
11,寡糖,0.00196002,4.20804103,0.00824783,5,n,0.79823293,0.72233488,2
11,市售,0.00313603,4.62675012,0.0145096,8,n,0.87484873,0.41824263,2
11,市面上,0.00274402,3.36006124,0.00922008,7,n,0.62571173,0.52462174,2
11,臨床,0.00156801,4.23963532,0.0066478,4,v,0.73199181,0.71016681,2
11,實驗,0.00235202,3.67825848,0.00865133,6,v,0.58803786,0.37407497,2
11,過敏,0.00235202,3.12875459,0.00735889,6,n,0.52349624,0.48703641,2
11,最常,0.00235202,4.77124998,0.01122207,6,d,0.68642567,0.52998397,2
11,菌株,0.01568013,3.82027627,0.05990241,40,n,0.85506431,0.84921757,2
11,嗜酸乳桿菌,0.00196002,5.69809406,0.01116835,5,n,0.65621466,0.66351813,2
11,Lactobacillus,0.00784006,5.13757332,0.0402789,20,n,1.16631844,1.12692184,2
11,acidophilus,0.00156801,5.77645649,0.00905756,4,eng,1.17759839,1.09286451,2
11,陰道,0.00156801,5.2130804,0.00817418,4,n,0.5453296,0.54459653,2
11,環境,0.00235202,2.78764759,0.0065566,6,n,0.99507491,0.53870626,2
11,Bifidobacterium,0.00156801,5.77073244,0.00904858,4,n,1.12472033,1.05721647,2
11,lactis,0.00156801,6.33951386,0.00994044,4,eng,1.22588838,1.13793881,2
11,比菲德氏菌,0.00313603,5.79733868,0.0181806,8,n,0.63946303,0.5887609,2
11,定殖,0.00352803,4.6340494,0.01634906,9,n,0.94661892,0.70701614,2
11,乳桿菌,0.00196002,5.03951267,0.00987752,5,n,0.73430634,0.600195,2
11,副乾酪乳桿菌,0.00156801,6.80628488,0.01067234,4,n,0.75329395,0.761625,2
11,菌種,0.00823207,4.77968881,0.03934671,21,n,0.58534033,0.52848974,2
11,補充,0.00313603,2.29196517,0.00718766,8,v,0.56797888,0.39430986,2
11,維基,0.00196002,6.04931988,0.01185676,5,n,1.04008122,0.67221282,2
11,LGG,0.00196002,5.60878616,0.01099331,5,eng,1.14395945,0.85417055,2
11,鼠李糖乳桿菌,0.00196002,6.39123062,0.01252691,5,n,0.93234622,0.62468471,2
11,rhamnosus,0.00196002,6.22892721,0.0122088,5,eng,1.19733502,1.13083389,2
